Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-3E-AAAZ-01,0.05580477,0,0.050354368,0.028881519,0,0.101597679,0,0.031554365,0.007491304,0,0.019714848,0,0.006619357,0.077286521,0.004508448,0.174070402,0,0.007159021,0.063053318,0,0,0,0,0.568340441,0.839448503,0.628095921
TCGA-F2-6879-01,0.013144454,0,0.011044691,0,0,0.164303743,0,0.028246371,0.023421635,0,0.010852798,0,0.005480423,0.195088871,0.028306173,0.131869767,0.015401224,0.004553391,0.054391017,1.47E-05,0,0.006713927,0,0.605925979,0.806906517,0.692833233
TCGA-F2-6880-01,0.007243948,0,0.086755983,0.036904559,0,0.058009432,0,0.02406839,0,0,0,0.015795036,0.007662894,0.044515982,0.006125581,0.109873379,0,0,0.102129375,0,0,0,0,0.334027332,0.944448284,0.499084559
TCGA-F2-7273-01,0.075856468,0,0.009509281,0.055667713,0,0.28979215,0.026062172,0,0.01084055,0,0.037904948,0,0.04730811,0.073760586,0.026217447,0.361825928,0.005593184,0.034141523,0.072898026,0,0,0.009840756,0,0.690678345,0.772626834,1.137218842
TCGA-F2-7276-01,0.153156553,0,0.004686518,0.021301163,0,0.262588515,0.019078998,0.045290188,0.000956553,0,0.067441465,0,0.020879845,0.229418995,0.062822433,0.235532232,0,0,0.022687284,0.033660349,0,0.022921371,0,0.818617515,0.689390597,1.202422461
TCGA-F2-A44G-01,0,0.012658268,0.076720305,0.022708637,0,0.123457969,0,0.004216626,0.028596029,0,0,0.026378143,0,0.214528692,0.036576271,0.175530365,0.007355196,0.058744912,0.06954976,0,0.000640516,0.037079802,0,0.406602702,0.913840148,0.894741491
TCGA-F2-A44H-01,0.006397334,0.014977387,0.001209545,0,0,0.133312965,0,0.03057465,0.037486403,0,0,0.027920403,0.047647021,0.53800432,0.01150257,0.164280076,0.016484811,0,0.024897467,0.01934601,0,0,0,0.862483742,0.56658915,1.074040962
TCGA-F2-A7TX-01,0.065484448,0,0.023031196,0.076854075,0,0.211049414,0.019624372,0.07407872,0.005871326,0,0.031597905,0.031702681,0.018780284,0.057826014,0.125618441,0.253654164,0,0.008686543,0.063530074,0,0,0.009999727,0,0.640619958,0.795100035,1.077389385
TCGA-F2-A8YN-01,0.016965684,0,0.085009217,0.004647803,0,0.081150812,0,0.004129216,0.031490873,0,0.022876131,0.009402417,0.009269532,0.164105405,0,0.203278619,0.011569243,0.018107715,0.036287454,0,0,0.015215758,0,0.629949169,0.796626781,0.713505879
TCGA-FB-A4P5-01,0.315501855,0,0,0.247360146,0,0.180545109,0.016038989,0.112881971,0.102656876,0,0.033665012,0,0.031244687,0.151467074,0.052328272,0.240158649,0,0.010427003,0.035702365,0,0,0,0,0.818536103,0.687449042,1.52997801
TCGA-FB-A4P6-01,0.044257398,0,0.072169561,0.092931954,0,0.186520689,0,0.012552542,0.056932918,0,0.028270447,0,0.042267169,0.015461708,0.012980298,0.216810978,0.010108711,0.022685431,0.120765278,0,0,0,0,0.663378483,0.797929447,0.934715082
TCGA-FB-A545-01,0.013388889,0.001866585,0.140086666,0,0,0.083016527,0,0.012476001,0.021304469,0,0.026743621,0.010165255,0,0.232091474,0.002681064,0.04055066,0,0,0.021805227,0,0.000134849,0,0,0.691275371,0.755059114,0.606311286
TCGA-FB-A5VM-01,0.041631375,0.052389326,0,0.091704672,0,0.100326359,0,0.048603805,0.068411043,0,0.040480317,0.003257583,0.03308513,0.266807681,0.017499872,0.292650991,0.009588813,0.037330944,0.050285466,0,0,0,0,0.841720864,0.663348329,1.154053377
TCGA-FB-A78T-01,0,0.006185057,0.05012902,0.044317826,0,0.142352762,0,0.009732342,0.043955203,0,0.028384329,0,0.115877961,0.221436364,0.018975175,0.138699046,0.006759657,0.004905816,0.023968647,0,0,0,0,0.686097603,0.764481241,0.855679205
TCGA-FB-A7DR-01,0.062273706,0,0.046489493,0.024452117,0,0.10721836,0.00087232,0.019808408,0.032120378,0,0.020566844,0.012409986,0.011632089,0.089659047,0.021568246,0.199567793,0,0.090881013,0.086836208,0,0,0.008501233,0,0.522630409,0.861127726,0.834857241
TCGA-FB-AAPP-01,0.031541317,0,0.060169369,0,0,0.113786596,0,0.013195527,0.03388869,0,0.068282025,0.005225238,0.021531822,0.018847134,0.008511521,0.053205159,0.00150122,0,0.023887437,0,0,0,0.09,0.14194218,1.025256061,0.453573054
TCGA-FB-AAPQ-01,0.027865274,0,0.05911053,0.005369648,0,0.091521791,0,0.004055829,0.014033868,0,0.034055598,0,0.002241485,0.333494585,0.009618955,0.073323452,0,0.005576496,0.006315553,0.019009158,0,0,0,0.589902638,0.808031824,0.685592223
TCGA-FB-AAPS-01,0.151327687,0.03548744,0.052638276,0.070757439,0,0.22150236,0,0.049596162,0.042231767,0,0.011595816,0.016480481,0.000318767,0.236463305,0.03276143,0.317812376,0,0.0099458,0.057300448,0,0,0.001647406,0,0.837995176,0.681749182,1.30786696
TCGA-FB-AAPU-01,0.039929176,0,0.109358953,0.010495968,0,0.164024879,0,0.000879026,0.046831091,0,0.03345696,0,0.007129296,0.012254482,0.00054658,0.09977284,0.01736916,0.038376641,0.005214996,0.005716362,0,0,0,0.324496344,0.947753188,0.59135641
TCGA-FB-AAPY-01,0.10685489,0.05884015,0.043980351,0.114723382,0,0.156866533,0,0.065224877,0.118658601,0,0.026252667,0,0.032860437,0.122263044,0.033546871,0.313805302,0.013559222,0.039896005,0.034072883,0.012161445,0,0.001619036,0,0.79677208,0.71908728,1.295185698
TCGA-FB-AAPZ-01,0.047409121,0,0.027786297,0.037273835,0,0.111139429,0.015732876,0.049887133,0.033448334,0.001941716,0.020398865,0,0.004488257,0.327976238,0.0216805,0.212925658,0,0.011072293,0.060452122,0,0,0.008588675,0,0.76268363,0.701160814,0.992201352
TCGA-FB-AAQ0-01,0,0,0.118995738,0,0,0.104350361,0,0.00471233,0.052843374,0,0.006148994,0.01617073,0,0.144927213,0.005008716,0.072358222,0,0.009139843,0,0.025843719,0,0.002257395,0,0.429730458,0.90333453,0.562756634
TCGA-FB-AAQ1-01,0,0.017632416,0.029596859,0.026215316,0,0.131065155,0,0.002304099,0.02976536,0,8.45E-05,0.016996924,0.030472007,0.215427565,0.007793401,0.245263344,0.001332702,0.000768263,0.058672504,0,0,0,0,0.739932515,0.718298759,0.813390401
TCGA-FB-AAQ2-01,0.089933191,0.031532717,0.017751575,0.030741249,0,0.053715344,0,0.049672253,0.01726906,0,0,0.004938427,0.000571114,0.169985414,0.006152865,0.100921645,0,0.02021053,0.02434994,0,0,0,0,0.625847181,0.798393989,0.617745326
TCGA-FB-AAQ3-01,0,0.005232006,0.018753863,0.032134372,0,0.147093449,2.68E-05,0.008613079,0.030249646,0,0.017258928,0,0.028048688,0.148111425,0.037294887,0.285151107,0,0.035576585,0.048581316,0,0,0,0,0.608874139,0.805829535,0.842126117
TCGA-FB-AAQ6-01,0.030852468,0.003507549,0.089738962,0.00183801,0,0.095179063,0,0.007605999,0.063285944,0,0.013268506,0.013433326,0,0.131106953,0.015983319,0.098233468,0,0.012381078,0.021815258,0,0,0.002121455,0,0.47562734,0.88198914,0.600351355
TCGA-H6-8124-01,0.012862954,0,0.104537694,0.000934585,0,0.046718409,0.000189776,0.019534358,0.035307498,0,0.012218512,0.009194663,0,0.246730342,0.009987295,0.07966293,0,0,0.026526038,0,0.001176105,0,0,0.541517024,0.842144572,0.605581159
TCGA-H6-A45N-01,0.087024207,0.010939075,0.042537321,0.05746159,0,0.096273074,0,0.043444173,0.071516999,0,0.020569689,0,0.02121297,0.314511673,0.03680582,0.232794944,0.005232997,0.005973686,0.0431901,0,0,0,0,0.840624956,0.658064706,1.089488319
TCGA-H8-A6C1-01,0.055894221,0.051809112,0.0415966,0.036972847,0,0.139022844,0,0.028462522,0.071511613,0,0.014121038,0.007763725,0.007682485,0.070765283,0.011565711,0.178986314,0.041376298,0.054862049,0.109490192,0,0,0.028320514,0,0.60873007,0.826667189,0.950203366
