Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICGC_0103,0.006739966,0.03894815,0,0.39276035,0,0.105484737,0.003832043,0,0,0,0,0.107704819,0.052164383,0.049850417,0.009592567,0.008502194,0.040141532,0,0.412048524,0,0.02587251,0,0,0.356564507,0.943616668,1.253642191
ICGC_0063,0.096889881,0,0.024666747,0.491402074,0.113647054,0,0,0,0,0,0,0.140175573,0.063363053,0.026068188,0.002786871,0.014953863,0.020269644,0.003373154,0.456564545,0,0.012515408,0,0,0.261097065,0.99485541,1.466676053
ICGC_0105,0,0.04761492,0,0.271285849,0.013116013,0,0.001832946,0.006061321,0.141375546,0,0,0.043479486,0.015479436,0.316663642,0.03643037,0.125829645,0.054032303,0,0.387962879,0,0.000625863,0,0,0.522298295,0.85731357,1.461790217
ICGC_0108,0.166309602,0,0.020577046,0.191009678,0.088350779,0.01190619,0.048841241,0.002434122,0,0,0,0.046590409,0.024127473,0,0.057558571,0.432488955,0.067693528,0,0.483540469,0,0.037870801,0,0,0.435726976,0.900239115,1.679298865
ICGC_0109,0.085158692,0,0.024988931,0.495956898,0,0,0.006619109,0,0.063794681,0,0,0.070595562,0.045220993,0.024456614,0.020095186,0.247813298,0.051384568,0,0.342047029,0,0,0,0,0.394679125,0.918682027,1.478131562
ICGC_0205,0.022291257,0,0.010781511,0.3890603,0,0,0,0,0.101075942,0,0,0.095412859,0.022189835,0.316415807,0.009351232,0.06344907,0.010790843,0,0.393575493,0,0,0,0,0.529407339,0.850450747,1.434394149
ICGC_0206,0.07159985,0,0,0.260567785,0.048676574,0,0.055508319,0.044617431,0.00626542,0,0,0.141094335,0.057459781,0.027806827,0.018318298,0.096528438,0.045101905,0.001504336,0.656779707,0,0.059886569,0.005427397,0,0.31431885,0.962547022,1.597142973
ICGC_0207,0,0.040288014,0.004352793,0.240200391,0.20502755,0,0,0,0,0,0,0.10308782,0.025296063,0.271872408,0.010687448,0.032500886,0.000173612,0,0.54161478,0,0,0,0,0.45079796,0.892866801,1.475101765
ICGC_0114,0.042284367,0,0.007052822,0.418460989,0.007308868,0,0,0,0.065722396,0,0,0.095425413,0.030865545,0.145451418,0.024925233,0.043080747,0.21214688,0,0.336543432,0,0.01698916,0,0,0.413344405,0.909854781,1.446257269
ICGC_0212,0,0.06270484,0.004518727,0.240898863,0.078713281,0,0,0,0.085759596,0,0,0.083439592,0.029964041,0.257853395,0.023144264,0.136423465,0.027933788,0,0.314985367,0,0.014597551,0,0,0.571809351,0.833606877,1.360936768
